Sentiment_Score,Tweets,Sentiment_level.score
-1, liar,Negative
2,  glad youre paying attention ,Positive
0, temporary solution for illegals until immigration is fixed all illegals living in us illegally should be temporarily relocated to california the headquarters for pro illegal immigration where it is accepted illegals should be restricted from leaving ca until legalized,Neutral
2, you are best president ever,Positive
0, so  how many illegal immigrants are working for you still,Neutral
-2, grassley bill is grossly inadequate,Negative
0, no wall jackass,Neutral
-3, time for you and your corrupt swamp to go along with grassley the man sponsored a bill allowing guns to be sold to people with mental issues make america great again or is the make gun manufacturers richer you lie too much,Negative
-2, its you and yours that our country needs to worry about you want to kill us off one by one with epa and safety deregulations,Negative
0, thats what dems want,Neutral
0, keep it up  you already have lost  of youre base youre a one term president if you get that far,Neutral
0, tell tell me this is because of the snowflake liberal democrats,Neutral
-1, retard,Negative
0, youwillbeimpeached,Neutral
-1, serious reaction,Negative
2, even your own party did not agree with you they voted more for the bipartisan bill than the one you suggested  maybe you should stop listening to bad advice from steve miller,Positive
0,  wut,Neutral
-1, why did they even waste our tax dollars writing it,Negative
0, and flotus parents,Neutral
3, liberals are still working for putin just like hillary wanted,Positive
1, voting for this amendment would be against law enforcement and for open borders sounds pretty good to me,Positive
-2, the only criminal im concerned about is you,Negative
3, i hope this gets resolved quickly no more lottery no more chain migration and lets build that wall,Positive
6, democrats wakeup we will get border security democrats love blocking thinking they will destroy with their corruption vote every democrat out of office completely worthlesstakes  votes to pass and gop has only  votes the military supports you president trump,Positive
7, who cares about the money mexico brings in when their dumping their ilk on our nation human traffickingdrug smuggling gang violencethe list goes on on build the wall make america great  secure all her boarders god bless president trump god bless america,Positive
0, ,Neutral
-2, bs the biggest threat on the us is guns without safeguards the bull shit,Negative
-1, how does anyone figure that dangerous criminals are wanted to remain in this country,Negative
0, people are not fish donald,Neutral
4, i want the bill you put together president trump only please include the sen toomey ammendment americans deserve to be protected please,Positive
-1, deport them all unless they are first responders and military  f,Negative
-1,  make amerika hate again and again,Negative
2, please thank god we have the president trump hes trying to change the country is all messed up,Positive
4, they r taking our countries our money cuz like kaminski said the americans have to pay for them thats not fair they have there country they want both countries theirs and ours,Positive
2, and yes kaminski sr was right all the way i am on his side cuz he is saying the truth,Positive
-1, deport  s parents,Negative
-2,  catch em all all immigrants deport now before its to late,Negative
3, what will you do with the russian women or chinese women who come here to have babies and gain dual citizenship for their babies while staying in your trump towers,Positive
-1,  take back the american prison system from the prisoners please,Negative
0, lottery should have never been law,Neutral
0, buildthewall,Neutral
12, proper immigration reform can be done without demonsizing immigrants  treating innocent legal immigrant families like animals its possible and that reformation  if it were evenhandedwould be supported by legal immigrants as well proper immigration reform should include ,Positive
1, any thing trump wants vote against hes proven thats hes not for america hes all about this damn wall and wardown with trump,Positive
-1, get on board the american people need to see you are american and for usa,Negative
-1,  youre an idiot,Negative
1, why do you choose to break up families i understand send the rapist and killers but the ones that work and have families are the ones being targeted and all are almost latinos what do you gain from this,Positive
1, how about your inlaws how about telling us about their immigration status ,Positive
-2, dems arent serious about anything but destroying americagiving vote rights to illegal immigrants with  nd grade education would result in america being run by cartel funded liberal mexican politicians probably what america could look like in  years if dems have their way,Negative
-1, want to vote for law enforcement guncontrolnow,Negative
0, endbirthrightcitizenship too ,Neutral
-1, the dems r just wasting your time why cant u believe them when they say they r not going to work with u why cant u believe them when they say u r a racist and they will resist and obstruct,Negative
-6,  isnt for law order when he degrades the very law enforcement and intelligence communities that risk there lives everyday to keep us safe  twists and defames to suit his own selfishness and criminal acts three cheers for the media dig pound grind ,Negative
-4,  lies and more lies this reminds me of what happened to the native americans the african americans and even the irishand they are white you can try to vilify mexicans but we wont fold not to your lies and hate you bring to our country same hate that you instill in kids,Negative
3, againthankyou for the important information and instruction they should follow,Positive
-2, immigration and wall should not be your priority rather strict gun control should be the utmost priority fix your domestic terrorism,Negative
-1,  u r a moron,Negative
7,  alt left will not agree to anything less than open borders giving them unbounded development of a voting lower class which will keep them in power merit based migration policy is practiced by countries who will never have a daca problem its just basic benchmarking,Positive
-1, how bout that marshall law boss,Negative
0, hyperbolize much,Neutral
-1, you people cant talk common sense or facts to this asswipe of a leader you can vote him and his gun criminal cult out of every office in our government get it done before more of our kids are killed  ,Negative
3, i stand behind the true reason for the wall the democrats entangled the truth so much so that they have confused the masses making their agenda almost fulfilled i see an unraveling of the truth now the democrats aka the democraycrays are now on full disclosure revelation,Positive
1, children died yesterday perhaps you heard stop tweeting like a child ,Positive
2, literally if you say people should support something i hope they do the exact opposite,Positive
0, this was a white guy who should not have owned a gun,Neutral
-1, you  these  sick  folks are still buying your mess   like  you  said  they watch fox  so they will  buy into anthing you saymost  bigots and haters  stick together,Negative
-1, all you want is a wall you can put your name on it is to expensive and there are better ways are problem are with white nationals or nazi followers who are killing our children they are not mentally ill they are white killers,Negative
1, that bill couldnt even get   votes,Positive
0, oh switch  and bait  like the  gop  had nothing to do with blocking it,Neutral
0, another day another lie from the white house,Neutral
5, i agree with everything but daca these illegals just like the others need to be deported if you legalize them you will be responsible for turning border states blue for decades or longer you will be responsible for destroying america,Positive
-1, you and grassley should be in prison,Negative
-6, dudeyou are in charge of enforcementget off your fat ass and do your job you lazy fat assstop cheating at golf and get to work or resign and stop living in government housing that my tax dollars are paying forloser,Negative
1, melania is showing me that she finally realizes what scum you are i know she would leave you in a blink shes just being smart,Positive
1,  dems are done working with you  useless dont think your money is going to get you out of this one donny,Positive
1, mr president veto any bill that does not address chain migration elimination the wall  border security no daca without them we will send these guys home if the democrats do not comply,Positive
1, what we do not want is a bill like chuck shumar bill i would call it a whimp bill with no substance it is not the fix once  for all for immigration it will require something down the line dreadful inferior work same old same old valueless,Positive
-6, you are against law enforcement on plenty of other issues so why are you so concerned about them here  majority of law enforcement are  for strict gun laws you are not,Negative
-2, what happened to the loveanother falsehood sad,Negative
0, we all know how this turned out dont we,Neutral
5, times have changed and so will america my great grandfather came to usa ellis island in  threw chain migration now its  unlike in  today we have bombings terrorists health vaccinations and a legal passport and citizenship policys to keep our diverse population safe,Positive
-3, open boarders are not the problem your arrogance ignorance and racism are racisttrumpassclown,Negative
-7, how dare you keep on about dangerous immigrants when our children are being gunned down by american citizens who are legally purchasing dangerous weapons weapons that have no purpose but to commit acts of violence give up on your stupid pointless wall  our children are dying,Negative
-1, ignore,Negative
2, noticed that there are more americans killing americans than actual immigrants what are you doing about that daca is just a diversion from you you have no clue on what to do,Positive
4, times change america must change also my great grandfather came to us threw ellis island in  threw chain migration now its  unlike in  today we have bombings terrorists health vaccination and a legal passport and citizenship policy to keep our hugh population safe,Positive
0, but what are going to do about the gum laws in the usa,Neutral
1, send your in laws back to wherever and we can talk,Positive
1, i was lucky to belong to boilermakers union and now i get a retirement check and social securitywhich i pay taxes on which is the  wont find illegal immigrants in the union because of background checksif the union can do thiswhy not other contractors,Positive
-2, i have been a democrat for over  years till i started to understand what they really stand for when you stand for abortion of american citizens to be legally voters to make room for illegal immigrants to come into this country and take their vote and take american jobs,Negative
2, notice al hoffman a prominent political donor for republicans has had enough of assault rifle support this is the beginning of sanity,Positive
1, wow,Positive
1,  great leaders build bridges not boarders you piece of shit,Positive
-2, only illegals were russians voting for you next lose another  points lie thats  so far,Negative
1,  dear potus we very well know cowardly dims behavior what is to be focused on are the rinos all those rinos names who have voted against your immigration proposal must be made public across the country for american people to see,Positive
-5, you lie you bully you demand you bribe you blackmail ,Negative
5, hope you hold your ground on daca  they all need to be vetted to see if they are worthy of americas generosity  the american dream is not a freebie hard work and acclimating to the american way is necessary  that means learn english,Positive
1,  how about you taking your wall money for dreamers path to citizenship and negotiating the other later you can be the good guy that saves dreamers and gets the wall that most people are against wasting money in ,Positive
-2, that worthless piece of shit dont know why he keeps being elected ,Negative
-1, hmm so you want to spend billions on this perceived threat when we have real kids being killed and you are rolling back our protections  do something now,Negative
-3, hmmmm funny that your current wives parents got in us on what you call chain migration aka family reunification act its ok for you but no one else hypocrisy  lies you shovel every day very sad,Negative
0, everything you just said is a lie this is all new to you its not new to us you think you can bullshit your way through it and make up whatever you want its not working you just look more and more incompetent by the day yourdaysarenumbered,Neutral
3, you were voted in by americans for americanswe know you will protect usschumer and stabenaw  are so far left they are off the maps of america i used to be a democrat until i saw what democrats arekwame kilpatrick ex mayor of detroit showed us what the clintons do,Positive
-4, are you trying to divorce melania illegal  chain immigration are how she and her communist member family got here,Negative
0, lets start by deporting your leeching inlaws they dont work came in through the illegal immigration of your wife,Neutral
1,  we dont want it let them go an come back the right way this is a smack in the face to legal immigrants  they broke oir laws  no rewarding them,Positive
0, offered bipartisan legislation in the senate that would have protected  million dreamers from deportation in return for a down payment on the  billion wall mr trump assured voters that mexico would finance the president showed his cards,Neutral
4, president trump has often spoken and tweeted of the soft spot in his great heart for dreamers the hundreds of thousands of young immigrants brought to this country as children this supposed concern has now been revealed as a con,Positive
0,   ,Neutral
3, it would be nice to have you pay more attention to us citizens ive been trying year this month to get copy of naturalization certificate but uscis cant find me i have written everyone including you for help for the us citzen,Positive
0, and if you were serious about making america great you would leave the white house leave the country and never come back america was great before you came along,Neutral
7,  million mexicans live in america they came in illigaly and out stay their welcome some as ms gang we are the major support of all of mexicos economydrugs included human traffic as sex slaveswe go on vacation there too we have built major factories there for cars  other,Positive
0,  yeah catch and release them on the other side of the border not in the usa make sure they know if they come back theyll be shot,Neutral
2, it would be cheaper for the usa to buy mexico than to build wall  send all mexicans back homewe could keep all the factories open that we built to give them jobs  hope that would keep more mexicans from crossing illigalywithout usa factories mexico dies all go home they die,Positive
2, no daca deal it is not fair to any other inmigrant who comes to usa seaking to become one of us legalysneaking in and jumping to front of line is not rightenough is enoughno daca,Positive
1, your donors like the current system   ,Positive
3,  well i know a few that are here working without a work visa,Positive
6, mr president daca is still illegal immigrantswhy should they be able to jump ahead of the people who are trying to immigrate the legal wayim just not for dacaobama jumped ahead of his authority by creating such a farceoh and by the way i am a registered democrat,Positive
-3, so you rail against law enforcement all the time you even told russian leaders that the former fbi director was a nut job after he torpedoed the campaign against you twice sad hypocrite,Negative
0, wecallbs,Neutral
