"Sentiment_Score","Tweets","Sentiment_level.score","Sentiment_level.text"
  1," incontrovertible  only question left is how unwitting was it for little don jr and queen kellyannenot looking good current odds are  that youll let them take the fall next move is yours",Positive,
  0," still trying to figure out how the russians made me vote for djt im sure i did this on my own",Neutral,
  2," this tweet shows theres no better way to illustrate more clearly that you dont give one single shit about the security of this country and you only care about your own image youre a disgrace donaldimpeach",Positive,
  2," the election results were definitely impacted you used the russians illegal dem email hacking on the campaign trail you won by only  votes in  swing states lost the popular vote bigly everyone knows youre not a legitimate president",Positive,
  1," gen mcmasters is not special counsel mueller   and he knows nothing about muellers evidence in your collusion with russia you just threw people under the bus left  right thinking you could get away with anything  everything now they have come back to bite you on the ass",Positive,
 -1," why dont you ask hilary for a date already instead of continually pulling her pig tails",Negative,
  2,"  general mc master can speak for himself",Positive,
  1," thats a fact and they should have been doing their job as fbi agents instead of trump hating and politics",Positive,
 -1," desperation time",Negative,
 -2," the whole rotten affair has backfired on the dems  the only quilty people are the dems and their supporters  if you support them you too are complicate in this crime",Negative,
  0," just pathetic",Neutral,
 -1," this is definitely something a stable person would say not the rant of a mentally ill",Negative,
  0," you sound really really nervous",Neutral,
  9," they just cannot stand it  they are on a sinking ship  thanks for the truth fight  truth will set us free for peace love and prosperity  thanks for being a truth fighter and a truth hero",Positive,
 -1," dont leave out benghazi mr president how heinous",Negative,
  0," pathetic trump dont you read doesnt anyone tell you anything you are the person conspiring with russia not hilliary not dems not anyone else you why wont you do the right thing and denounce putin and enforce sanctions what does he have on you pee pee tape",Neutral,
 -1," benghazi they new about it  didnt do crap to get our men out hilary  obamalama why havent they been held accountable for that",Negative,
  1," gop just said youll be resigning next month mueller has gates and manafort you cant keep the bullshit con going america despises you and youre no leader puppet for putin koch and white evangelical demons",Positive,
 -4," you disgusting bastard with all that has recently happened you are out spreading your bs lies there is only one place you belong behind bars being  raped daily just like you are  raping us  our country daily we all know you colluded with russia  putin its wasnt hillary",Negative,
  0," despicable don needs to stfu",Neutral,
  0," put all of them in prison including obama",Neutral,
 -1," dont forget pizzagate",Negative,
  0," so full of shit you are",Neutral,
  0," crooked h huh man i would love to read and interpret things through your eyes sometime smh ",Neutral,
 -2," you are an ignorant narcissistic bigot even your racist father kkk rally would be embarrassed of your behavior",Negative,
 -1," thats because that would have been fake news",Negative,
  0," riiiightremember uranium trumptreason check out s tweet ",Neutral,
  0," ok then the russian meddling and bots certainly did a number on you what part of the russians tried to destroy hillary do you not understand give it a rest already",Neutral,
  0," bullshit little donnie thetwit  your russian friends helpes you win you dont blame russia for anything  i bet you live being in the pocket of russia",Neutral,
  0," did you not read the report moron  also said your campaign got duped by the russians  they fixed the ejection for you  you didnt really get ejected  you won a four year paid vacation",Neutral,
  2," you are hilarious sometimes then i realize its scary af then others times i think you really dont know any better and that makes it funny again what a clown ",Positive,
 -2," you were not elected  you were the usefulidiot who happened to be picked by putin to squash our democracy  but were on to you  youre going to jail  moroninchief travesty",Negative,
 -2," this tweet lacks any shred of critical thinking stating unsupported conclusions without supporting analysis does not move the needle",Negative,
 -1," what a bobblehead you are sarah have you no shame trump is an embarrassment to all thinking americans enabling treason will be your legacy for your children",Negative,
 -1," liar cant you think of something new",Negative,
 -2,"  being ungodly imo only wants to put out the globalist lie ignoring that the lord used the russians to uncover the real collusion of primary political tampering compromising of our classified material system and blatant obstruction of justice  real crime imo",Negative,
 -1," collusion that should be your middle name",Negative,
 -3,"  we know they are rotten to the core we know what are the plans to avoid another shooting spree",Negative,
 -1," did he  did he forget",Negative,
  3," he didnt forget to say mathematically there is no way you could say that are you sure you have the intellectual capacity for the office you hold determining facts is kind of a crucial part of reasoning ive noticed you had some problems with this in the past",Positive,
 -3," wow your tweet says that you are fat cornered balding rat guilty of colluding with the russians to get you elected  thats what your tweet says only a guilty man would be tweeting the way you are tweetingtrump trumpcolluded mcmaster russians russiansanctionsnow maga",Negative,
 -2," wrong again president dumb dumb trumpcrimefamily putinspuppet ",Negative,
  1," when will your mouth give silence",Positive,
  0," keep juggling donnie",Neutral,
  0," or did he",Neutral,
  0," absolutely",Neutral,
  0," what an awful excuse for a leader of the free world youre turning out to be",Neutral,
  0," dont speak for the adults go back to eating crayons and glue in your golf cart",Neutral,
 -1," you are truly pathetic a disgrace to my country  please go away",Negative,
 -1," why havent you released your tax returns yet are they still being audited  youre doing an awful lot of deflecting for an innocent man",Negative,
 -1," we all know u arent involved in running this country ur just a shabby front man for lyinryan corruptmcconnell  the kochs gives u tons of time  watch tv  tweet lazy",Negative,
 -1," no all i remember is your inaccurate facts and lieing to the american people  stop trying to vindicate yourself",Negative,
 -1," you suck",Negative,
  2," the election was impacted you sir are not the president liarinchief",Positive,
 -2," he didnt say it because its not the case you stupid mutherfuker ",Negative,
 -3," you need a straitjacket shackles leg irons handcuffs manacles and a big roll of duct tape to lock and shut you up youre a traitor",Negative,
 -1," he didnt say it because it isnt true you buffoon cant wait til mueller locks you up",Negative,
 -4," maybe he didnt forget to say that  but really why are you so defensive about an investigation you repeatedly say has nothing to do with you or your campaign team ignore dumb jrs meeting at tt anyone would think the more you deny the more reason its probably true",Negative,
 -1," you are an insecure man arent you",Negative,
  0," cadetbonespurs  russiancockholster",Neutral,
  1," i still think america has a lot of waking up to do besides that its called voting get pissed america people voted wether another country tried to get into it we have who we have and so far so good rock the boat and only those loose will fall off",Positive,
  0," bluewave ",Neutral,
 -5," we dont care sir fix our country for all americans let the past lie where it is for a president that seniors me ys this type of banter is very immature to constantly attack belittle blame and point fingers at your adversaries constantly has to be tiresome  boring",Negative,
  0," general mcmaster forget  i dont think so",Neutral,
  1,"  gen mcmaster is a  globalist traitor i would not trust a word out of his mouth",Positive,
  1," and we all think the russian sided with you and will always believe that",Positive,
  1," it is time to fire mcmaster kelly mattis and either wake jeff sessions up are fire him also it is time to surround your self with loyal people",Positive,
 -1," yes  fakepresident we do remember the dossier its what makes you a serious security risk you can be blackmailed by putin",Negative,
  0," no he didnt",Neutral,
  1," how do you explain why members of your campaign are indicted  or that your son met with russians for information  what did your boyfriend bannon tell the fbi  whats up with stormy daniels",Positive,
  4," isnt it amazing anyone would want these corrupt politicians to run our country thank god the american people voted with their eyes wide open",Positive,
 -1," dump mcmaster and put flynn back into that position",Negative,
  1," he didnt forget hope just told you that so youd shut up for one gd minute",Positive,
 -2," nope he didnt forget to say anything cant wait for the day your reckoning comes",Negative,
 -2," were on to you you colluded with russia you are a traitor you are going to jail we have the proof ",Negative,
  0," electionswereimpacted",Neutral,
  1," you are a true pos go flush yourself ",Positive,
 -2," you keep calling crooked h when you are  the  crooked scammer in america today",Negative,
 -2," ur the fat grump if hilary is crooked",Negative,
  2," fake president  putin is our real president it seems to me",Positive,
 -2," and you forgot to say how republicans are complicit in the ongoing massacres of students in our schools do something",Negative,
 -1,"  he didnt forget",Negative,
 -1," speaking of insecure ",Negative,
  0," general mcmaster didnt forget to say anything you are completely embroiled in this and mueller is coming for you and your cronies and your family ",Neutral,
  1," if not for russian rigging hillary would have won the electoral vote scotus should nullifyelection",Positive,
 -2,"   mcmaster is pawn of deep state",Negative,
 -1," jackass what makes you think he forgot to say it your indictment is coming right down the road",Negative,
  1," you were voted in  by god following patriots who then outweighed mind controlled liberals or color seekers  our prayers  are  still  with you and your administration",Positive,
  0," lock them up",Neutral,
  4," god help and bless america  bring her justice",Positive,
 -1," of course they were impacted they brainwashed a lot of people who didnt know better to vote for your bald ass at least the majority of people saw you for what you are fake",Negative,
  3," the only good trump is an incarcerated trump",Positive,
  2," do something presidential most americans have had about enough of you and twitter do your bleeping job smdh ",Positive,
  2," just so the results of  may be dramatically affected we can now prove that they are crooks or fools go trump",Positive,
 -1," youre such a pathetic joke just cant bring yourself to chastise russia for what they did and continue to do absolutely pathetic ",Negative,
 -1," disgusting assertion",Negative,
 -2," you need to be bitch slapped ivanka ",Negative,
 -7," youre a freaking delusional piece of crap youre so corrupt the only words left are nasty words",Negative,
 -1," no he didnthe is a big boy he can speak for himself",Negative,
 -2," why did he forget because it isnt true  or he chose not to lie to you",Negative,
 -2," you are seriously ignorant and deafagainhillary was let go of all your false chargesonly you will be charged traitor",Negative,
  1," resign now  dereliction of sworn duty protect us from russiau refused enforce new russian sanctions u protect putin",Positive,
 -1,"  saying that the illegitimate russian media campaign didnt have influence on the election  is like saying the legit millions of  spent by the gop itself had no influence really weighing that influence is the unknown admit it trump",Negative,
 12," trust me president trump anybody with any common sense knows this is what happened just let them finish i guarantee you you will be proven right although i guarantee the media will not put it on the air just keep doing what youre doing with our nation",Positive,
 -1," general mcmaster didnt follow your script naughty boy he forgot and just told the truth cant have that can you so much whining are we tired of all the whining yet yup",Negative,
  1," sounds like you guilt is seeping through you might want to get that looked at ",Positive,
 -1," are you ok you should get another check up i think your meds need to be adjusted",Negative,
  0," mr trump you tweet guilt",Neutral,
  0," u r right about one thing the world  russia is laughing at us you refuse to say a bad word against putin who attacked us",Neutral,
 -3," the death rattle of a desperate man",Negative,
  3," i imagine he didnt forget he just wanted to stick to the facts no one has cleared anyone and no one has said the outcome wasnt altered thats going to be in the next indictment patience it is coming",Positive,
 -1," it was impacted loser",Negative,
  0," neverinhistory has president after facts ofan attack on us failed to speak from oval office callout enemygiveconsequence",Neutral,
 -1," he didnt forget",Negative,
  0," you truly are a fetid sht stain on the face of humanity",Neutral,
 -1," he didnt forget donnie ",Negative,
  3," mr president i ask once again when are you going to do your job  protect us from cyber meddling and attempt to divide america by russia   you do know you swore to do that right",Positive,
  1," you are toast",Positive,
 -4," remember how the head of the dnc  had to resign in disgrace before their convention remember how they held their debates on saturday nights at pm remember how they claimed  intelligent agencies blah blah blah turned out was another lie democrats are a joke",Negative,
  1," you clearly do not understand what is happening here  money laundering bribery treason that is what is on the table mr trump and mueller is coming for you tick tock",Positive,
  0," because noone is sure about that  your worst nightmarei believe it most certainly did  show us your proof of that donnie how about the tax returns you promised azerbaijani azerbaijaniazerbaijaniazerbaijaniazerbaijaniazerbaijaniazerbaijaniazerbaijaniurgoingdown",Neutral,
 -1," no harm shall harm you my president",Negative,
 -1," i dont think the general forgot to say anything  where are the sanctions on russia  where is your condemnation of russias interference",Negative,
  0," general mcmaster did not forget he knew exactly what he was saying and what he chose not to say",Neutral,
 -2," actually mcmaster forgot nothing he simply has integrity something you lack he refused to repeat your script of talking points lies and bs you dont own him the way putin owns you you dont own us either you still own your idiotic culters but even that pool is dwindling",Negative,
  0," mcmaster needs to be reprimanded   mr mcmaster told the international conference to dismiss donald trumps tweets telling the conference in germany ",Neutral,
 -1," he didnt forget he just didnt tell a lie",Negative,
  1," bullshitpassing the buck is all youre good forwe all know this has everything  to do with you and you will pay the price for your moronic lies",Positive,
  1," mr president my st thought is that mr mueller needs to look at george soros",Positive,
 -3," mcmasters didnt forget to spout your lies hes sick of doing so",Negative,
 -4," he didnt forget to say it rather he didnt say it because its not true obviously you are delusional and tell lies",Negative,
  3," nice try worthlessyour diversions will not work  i hear the noose tightening nowif youre nice maybe theyll include some fluffy orange handcuffs for you you horror of a human being",Positive,
 -1," theyre coming to take you away ha ha look for the men in the little white coats  trumprussia resign",Negative,
 -1," o what a tangled web we weave when we first practice to deceive",Negative,
  1," hes your guy remember quick question why why do you keep antiamerican antitrump globalist filth on your team tweet yourself trump",Positive,
 -1," methinks thou dost protest too much  just a wee bit too muchactually just a shedload too much  tweet less work more  sad",Negative,
  0," hahahaha did he also forget to say how smart and good looking you are because thats fake news too",Neutral,
  0," he didnt forget trust me hes been doing this a lit longer than you ",Neutral,
 -3," did you peepee your bed again and needed to feel powerful by attacking others trumpydumbty the bed wettermcmaster didnt forget shit he cant lie for you it will ruined his already crumbling legacy plus he can get in legal trouble you arent worth the bed you pee on",Negative,
  1," now you are going to put words in mcmasters mouth especially after your team met with russians to gain info on hillary",Positive,
  0," we wont ever forget we wont ever forgive internetbillofrights",Neutral,
  0," because they dont know if it was impacted  mybe you really are the fakepresident   hahahaha",Neutral,
 -1," your laundry list of fakenews stories was createdpromoted by you  fox  circulated by yr hideous idiot hardcore fans",Negative,
 -3," he didnt he forgot to point and laugh at the fat illiterate balding bad businessman  sexual assaulter the majority of americans voted against but that putin put in power you may be a low iq moron but youre definitely the most prestigious russian cumrag in existence lild",Negative,
  0," the russians hacked into electoral systems harm just cant be proven then gerrymandering and voter suppression by  all of you made that election a bs win russiansanctions whynorussiansanctions whatistrumphiding",Neutral,
  1," ooh even your own peeps can only obfuscate so much  you sound so sad",Positive,
  0," im still waiting to see the pee tapes if youre banging porn stars and playmates you probably get into the golden showers as well worthless excuse for a man",Neutral,
 -1," oh please tweet after tweet after tweet you narcissistic moron ",Negative,
 -4," no youve been dirty your whole life racist landlord cheated banks and workers uranium deal closed nothing dossier was factual why are you obstructing demmemoasis those emails dont reflect any dirt on hillary",Negative,
  0," someone missed their nap",Neutral,
  4," he didnt forget to say it he chose not to lie something you should consider trying are you even capable of telling the truth about anything i know you love lying so much you even wrote a book about how good you are at it  the art of the deal the big skill required lying  ",Positive,
 -2," no gen mcmaster didnt forget unless you gave him orders to lie he said what was factualsomething you have no grasp ofperiod",Negative,
 -4," every trump tweet is evidence of his poor intellect mental instability emotional intemperance and dangerous narcissism hes a sad disaster",Negative,
 -2," you are increasingly  desperate to point the fingers at others  if you stopped tweeting like this people wouldnt constantly be associating you with guilt  clean up your act    try at least pretend to be presidential",Negative,
 -4," i am a conservative and i got to say guilty much you fucking traitor",Negative,
  1," we remember you and we remember the fact that you did not win the popular vote your presidency is fake",Positive,
  0," ",Neutral,
  0," whats funny is obama sent the criminal russians home as sanction but before the indictments certainly the grand jury had the names so why would obama send them home",Neutral,
