Sentiment_Score,Tweets,Sentiment_level.score
4, we could do with a leader like mr trump here in the uk we need to start investing in our country instead of giving it away to foreign aid there is an old saying charity starts at home,Positive
-2, you are a moron  lets give huge tax cuts than raise gas prices  lol,Negative
2, why is there always money for things but never people you talk about costs yet you add trillions,Positive
-1, if your tax cuts had not been so steep you might have received support if you apply a  cent gas tax everyone will lose  to  of their tax cut gains and that is before accounting for inflation and higher healthcare costs  the value of money is going the wrong way,Negative
1, you are indeed hard working president you are also different from  manynice proposal,Positive
0, and everyone hates it  drilling on public lands  are you nuts  waityou dont have to answer that  we know the answer,Neutral
4, no it hasnt received great reviews primarily because you want magic miracles to happen with a small amount of money,Positive
-2, you are an evil asshole,Negative
-1, bipartisan make deal dems have you gone complete neanderthal what a sad little man,Negative
-1, democrat republican independent socialistyou cant argue against infrastructure it is the veins of our society,Negative
1, im guessing you want to sell off all our roads bridges etc so you can grab some profit too you aint getting away with it i helped pay for that shit and it aint for sale,Positive
2,    can we now finally widen i between renton and bellevue or do we have to sit in gridlock for another score,Positive
0, you are funny,Neutral
-1, you need to fund it tax the uber wealthy,Negative
3, how much money will you and your rapacious cronies make off this   no trump tolls,Positive
0, stop receiving the billion of dollars from the national rifle association instead,Neutral
0, is a plan to pass almost all of the costs on to the states really an infrastructure plan,Neutral
0, you need to make sure the environmental impact of every infrastructure project is considered,Neutral
2, by make deal he means give into our ridiculous demands for money for the rich,Positive
2, your plan is mostly to get states and local governments to pay because your tax bill has given away all the money which could have been available from taxes paid by corporations and billionaires,Positive
4, because we dont want to sell our roads and bridges and infrastructure to saudi arabia china and to global corporations for them to profit from americans who might be i dont know maybe just driving to work to make a living but now have to pay a road toll to a saudi sheik,Positive
3, you must be surrounded by yes men who never tell you what is really going on so you think everything is well received or you just deceive yourself and hope you deceive us as well,Positive
2, dont make us pay  per gallon on gasoline to cover   trillions that was given to   tax cuts last month  this is not right for the rest of us  this is a gop scam  let them pay for,Positive
0, the dems want to pocket the money did nothing for our america the last eight years now you want to fix our infrastructure the dems are disgusting,Neutral
1, the problem is you took all the infrastructure money and used it on the military  why dont you pitch in some of your billions  america first right,Positive
0, what we need to take care of is the  vote majority rule,Neutral
2, president donald trump dont and never give up,Positive
5, i have been hearing leaders at the local level dont like it crumbs from you and locals have to pay a lot no taxes federally will lead to high tax locally or our infrastructure can begin to look like your favorite places in africa,Positive
1, infrastructure improvements are needed you said  trillion but as usual that is a big fat lie you are only allowing  billion that is not enough to do much in relation to what is needed,Positive
-1, ignore,Negative
1, on another note mr president guns dont kill people people kill people thank you for supporting gun rights,Positive
0, yes we need that infrastructure repair,Neutral
3, making america great again we believe in you super president,Positive
1, keep on truckin and doing what is right ,Positive
-4, it has receieved terrible reviews and lacks funding or details fake news little man,Negative
0, donnie  oh yes youre such a good boy,Neutral
1, did u even go to college hillary clinton is so more educated then u how is that going to help us if we go to war nobody needs to die we need peace,Positive
1, then i guess you cant say everyone right,Positive
0, wecallbs,Neutral
0, lets roll mr president we dont need the democrat weirdos,Neutral
1, its time to disband the democratic party for anti american propaganda and actions harmful to this great nation we have had enough,Positive
1, why do you keep casting hate toward the democrats arent you the president of the entire nation not just the republicans,Positive
0, no disrespect mr trump but you really shouldnt be posting here about subject matter regarding your position or your opinions pertaining to other government agencies i voted for you but i think a president should not be  doing this much love donna,Neutral
0, can you just ever shut up and stop pouring gasoline on the fire  how about trying to bring people together for a change,Neutral
-2, its a shit plan and you never read it fool,Negative
2, but who will buy and build a bridge for us really,Positive
3, dont think you selling off is taking care of the infastructuremore like milking the country into bankruptcybut you do that hugely b igly well better than anybody,Positive
0, youre getting thrown out dont act like nothings happening youre done idiot,Neutral
1, except the democrats   except the majority of americans,Positive
6, continue on mr president they will never agree on anything sensible your doing great andvwhstvwe knew you would thanks,Positive
0, great reviews by only your yes men anyone with a brain knows its crapjust like your tax scam bill youre the worst president ever,Neutral
3,  the democrats dont want to fix infrastructure they think the lead water in flint is just fine for their peasants to drink of course they wont drink the water themselves maga,Positive
-5, only for their  political agenda resist and to heck with  the people and the country corrupt selfish and evil,Negative
-4, you are forever blaming the dems for everything when is your dumbass going to take the blame for shit you suck as a president and you shold resign spineless coward,Negative
-1, make an exit before you are impeached fraud,Negative
-1, we need infrastructure badlybut it seems democrats cant see past their bank account,Negative
-1, so you can further destroy the environment no thanks,Negative
-3, the dems are making a mockery of this country at least trying to,Negative
-2, what other crap are you trying to sneak into this bill that you arent telling the public,Negative
1, guess the idea of the republican party being the party of sound fiscal policies is goneeh  werent you the guy complaining about the dems spending too much money,Positive
-1, ur plan sucks,Negative
-3, debt idiot debt,Negative
0, trump  trash,Neutral
-2, the dems lack of integrity honesty and commitment to excellence will continue to keep them on the wrong side of political history their lies hate deceptive subversiveness  obstructive behavior continues to perpetrate discord strife  disunity can they really make a deal,Negative
1, what infrastructure plan you mean the one where you gave a secretary  extraweek and now the state will take it away from her to pay the  bill the states are to pick up for infrastructure that one we are not stupid the blue wave is coming ,Positive
-5, you are incapable of creating bi partisan agreements because you are divisive hateful and inept,Negative
-5, both sides need to make concessions to the other thats the very definition of bipartisan its not one side lays out their plan refuses to negotiate squat  the other is forced into accepting it not to mention the new budget allocation for infrastructure is pathetically low,Negative
3, im sure all those milions and millions of people that never attended your inauguration gave you such great reviews,Positive
2, there is no money for thisyou gave it all to the rich in your great tax billjuststoptalking,Positive
1, totally agree lets cut the budget and make room for new infrastructure,Positive
-1, ur deals are bad deals,Negative
2, i would like to see a pie chart showing just where  trillion dollars spent by democrats went under the obama occupation,Positive
1, please dont cut funds from childrens health care and medicare the young and elder need you to back them up,Positive
0, no,Neutral
-2, united we stand and divided we fall  we need to quit labeling name calling dividing our people up forget the terms republican and democrat  and just think of both as part of a whole entity made up of people that have opinions dont divide our people for having opinions grow,Negative
-2, had your infrastructure plan come before your tax scam maybe we could have considered it now its just a political ploy that will probably benefit only you you are a waste of air and a scourge on america,Negative
4, mr trump making a deal does not mean that the minority party just quietly gives the majority everything they want making a deal requires compromise if you dont know that then youre not half the businessman only you think you are,Positive
-1, the democrats hate america,Negative
1, what plan looks like a th grade book report,Positive
-1, anyone can say lets do it but its the how you are having trouble with,Negative
2, great job ,Positive
-1, repair infrastructure  dumb ass democrats,Negative
-2, you gave great tax break with one hand and reach in our back pocket with other and take back cent gas tax disappointed  trillion isnt enough spend spend spend,Negative
0, vladimir is thumbs up comrade ask him if we can implement the sanctions now,Neutral
-1, do not forget to mention the  cent gas tax hike maybe you can afford it but the shrinking middle class can not,Negative
5, i want to kreate new jobs in the usa i want tooffer free mayown hideaa faktory to produce the new skrreen   that will plays the fantazies of mayown mind in real time live as  moviesafter the judgement of the komitte that will be kreated for iti diskuss the price of tikket,Positive
4, president trump your full of more shit that a dozen thanksgiving turkeys  your just selling our roads and bridges to your billionaire cronies n,Positive
0, ,Neutral
0, democracy sucks sometimes huh,Neutral
