"","score","text","level.score","level.text"
"1",  2," join us at marchtrump march th  lincoln memorial amfree tickets info magafirstnewscom",Positive,NA
"2",  0," im reflecting on how disgusting it is that we dont have a president we have a russian spy instead",Neutral,NA
"3", -2," not fake news hell is waiting for you",Negative,NA
"4",  0," who at one point i knew very well youre so stupid donny ",Neutral,NA
"5", -2," youre a fucking moron",Negative,NA
"6",  6," thank you president trump for being the best president happy presidents day",Positive,NA
"7",  0," you should reflect on whether you should be presidentresign",Neutral,NA
"8", -1," resign",Negative,NA
"9",  0," reflecting upon putting your dumbass behind bars",Neutral,NA
"10", -3," be reflective on your treasonous acts against america dirty donnie",Negative,NA
"11",  1," me every day have a great presidents day its always about me fixeditforyou fakepresident",Positive,NA
"12", -1," why is it that nobody ever mentions that obama spent taxpayer money trying to get pm netanyahu ousted i would call that meddling in another countrys election",Negative,NA
"13",  1," how about a shout out for our fine athletes competing at winter olympics",Positive,NA
"14", -1," our national embarrassment",Negative,NA
"15",  2," i agree with the fbi statment in the beginning but does everything have to be about you trump",Positive,NA
"16",  0," if only we actually had a president  maybe you should do a little reflecting",Neutral,NA
"17",  7," president trump ive messaged you every way i could think of in hopes of being able to come to the white house and have donated to your campaign but if i cant get an invite to the white house can you please send me a signed photo",Positive,NA
"18",  1," stop tweeting like my passiveaggressive aunt you impotent anal slick",Positive,NA
"19",  1," speaking of just talk stfu donnie small hands",Positive,NA
"20",  0," i thought you dont watch tv",Neutral,NA
"21",  0," you too donald  please reflect on your record so far",Neutral,NA
"22",  2," just like all the politicians before him but he is trying to take care of us what other president would give up salary and put up with all this crap",Positive,NA
"23",  4," this is just another way you try to protect your best friend putin",Positive,NA
"24",  2," you will be impeached you have a great day",Positive,NA
"25",  0," notmypresident phonyputinpuppetpresidentimpeachthepig",Neutral,NA
"26", -2," you know i thought i could follow you on twitter but you are so stupid you make my brain hurt goodbye",Negative,NA
"27",  1," were celebrating every president except youwere trying to have you removed from office",Positive,NA
"28", -2," impeach the jerk",Negative,NA
"29", -1," and about the shooting",Negative,NA
"30",  2," mr president  thank you",Positive,NA
"31", -1,"  ken starr isnt that the guy who wasted millions of tax dollars ",Negative,NA
"32", -1,"  turn off the fucking tv enforce sanctions on russia and defend this nation go to the funerals of the children massacred or address meaningful gun controls to show you actually give a shit about more than yourself  hell talk to your wife",Negative,NA
"33",  1," yes well reflect on the first  presidents",Positive,NA
"34",  1," incontrovertible  only question left is how unwitting was it for little don jr and queen kellyannenot looking good current odds are  that youll let them take the fall next move is yours",Positive,NA
"35",  0," they are moving in on you  do you feel the pressure  they are getting closer and closer the dogs are starting to bark  you have no choice to resign or you will be taken away",Neutral,NA
"36",  1,"  fox n friends with only each other kinda reminds me of sesame street",Positive,NA
"37",  0," ",Neutral,NA
"38",  9," happy presidents day mr trump the people of america have spoken to you please oh please do not be a warmonger like george w bush that would wear us out open the doors open the policy open the hearts and minds for a better future think of youth next generation god bless you",Positive,NA
"39",  2," this tweet shows theres no better way to illustrate more clearly that you dont give one single shit about the security of this country and you only care about your own image youre a disgrace donaldimpeach",Positive,NA
"40",  0," its time for you to resign just get out ok",Neutral,NA
"41",  2," james baker recalls the russians who said that the us with george bush gave kharchchev a billion dollars to leave saddam hussein how he was not held accountable for giving the russians bribe and exchange sensitive information",Positive,NA
"42",  1," im going to reflect on the shear joy of seeing indicted tick tock",Positive,NA
"43",  0," stfu",Neutral,NA
"44", -1," youre scared shitless ",Negative,NA
"45",  4," happy presidents day fore t  good luck on the links today  hopefully youll be reflecting quite a bit yourself between holes  suggested topicstime spent playing golf and how not to make things all about you",Positive,NA
"46",  0,"  you tweeted about russia  times this weekend obessedovercompensatingguilty much",Neutral,NA
"47",  0," just change the law on gun",Neutral,NA
"48",  3," which facts are incorrect mr president what are the true facts sir",Positive,NA
"49",  4," funny i was reflecting back when we had a real president those were better days but hey thanks for the reminder but can you just stop for a day because every time you open your mouth you shame is all ",Positive,NA
"50", -3," what really reeks of insecurity is when a grown  year old man who is supposed to be in charge of the country is using his time and tweets to attack  bring down others hes threatened by",Negative,NA
"51",  4," great observation president trump  you are absolutely right",Positive,NA
"52",  0," what is wrong with you grow up",Neutral,NA
"53",  3," dont you dare ever talk about our national treasure msoprah winfrey she is far more superior",Positive,NA
"54",  1," wow it only took a week for you to peddle this bullshit fbi should have enough manpower to do both they will take you down",Positive,NA
"55",  1," my president  ",Positive,NA
"56", -1,"  that was all you own it the only thing republicans are working hard at destroying our country",Negative,NA
"57",  0," reflective as to why your are",Neutral,NA
"58",  0," same to you ",Neutral,NA
"59", -1," shut the fuck up",Negative,NA
"60",  1," youre the president youre supposed to bring this nation together not divide us  david hogg student douglas high schooltrumpfortrusteeatleavenworth",Positive,NA
"61",  0," reflect on this",Neutral,NA
"62",  3," just  sharing this as an example of how a real president should respond ",Positive,NA
"63",  2," go trump love ya man",Positive,NA
"64",  1," its embarrassing to hear these communist leftist idiots say they represent me when talking to putin the two greatest world leaders today president trump and president putin maga qanon demsgitmo",Positive,NA
"65", -2," how can you be so fucking dumb you are a disgrace to humanity",Negative,NA
"66",  0," fuck trump",Neutral,NA
"67", -6," hey you heaping pile of talking dog shit instead of talking about what the dems didnt do you now have control of both houses and the oval how about you get off your day fucking orange ass and pass some sensible gun laws instead of this tax bullshit that will bite us in the ass",Negative,NA
"68",  0," actually donald the best indication of insecurity is when a person repeatedly lashes out at people they feel are diminishing them  im not sure what happened to you as a child but your sense of self is seriously damaged",Neutral,NA
"69",  0," reflect on resigning  hit the easy button  just resign",Neutral,NA
"70",  3," people love and respect oprah shes a true role model",Positive,NA
"71",  1," i am spending it reflecting on electing president bernie sanders in ",Positive,NA
"72", -1," hahaha you are projecting and fuck you",Negative,NA
"73", -1," i need a moment of silence for the people who didnt vote before they start to weigh in",Negative,NA
"74", -5," youre bully ass is the one whos insecure picking on another woman its a damn shame that you cant take criticism grow up and be a man",Negative,NA
"75",  1," did she talk about how during the funerals of children slain in their school you are golfing did she mention that prayfordouglas childrenunderattack trumpgolfs",Positive,NA
"76",  5," stop sucking up and do some real work for the america people and it doesnt take all day all week all month all year to make something happen you place money above america people like the nra your partner and crime",Positive,NA
"77", -1," take down your disgusting picture with your thumb up  i find nothing to smile about you are the one that needs to be reflective cheaterinchief",Negative,NA
"78",  4," happy presidents day mr president together we are making america great again thank you",Positive,NA
"79", -1," many people are reflecting on how terrible you are as a person",Negative,NA
"80",  0," dont worry about opera take care of our country",Neutral,NA
"81", -2," i am going to reflect on the lack of gun control in this country and the fact that we have a president who is a complete moron",Negative,NA
"82", -1," im reflecting today on how any past presidents could have possibly been worse than you",Negative,NA
"83",  1," i agree",Positive,NA
"84",  0," i ditto that ",Neutral,NA
"85",  0," hahahahahaha",Neutral,NA
"86",  2," deeply reflecting on how great it will be when you are out of office",Positive,NA
"87",  1," lol sure presidentsday trumprussiaconspiracy maga ",Positive,NA
"88",  1," not long ago the birthdays of presidentlincoln feb  and presidentwashington feb  were holidays that was before the generic substitute presidentsday lowered the bar became a day around which to advertise products for sale perhaps including the presidency itself",Positive,NA
"89",  2," celebrating president obama sure miss him",Positive,NA
"90",  3," watching history reflecting our president trump quite unique",Positive,NA
"91", -1," tweet unavailable dumbo",Negative,NA
"92",  0," very reflective indeed  resign now mr trump",Neutral,NA
"93", -1," cant wait for you to roll her in the debates",Negative,NA
"94", -1," liar it was blocked byguess what party",Negative,NA
"95",  0," its like polosi inferred  dont need votes because theyve already won in the courts of lib opinion political correctness  outside dueprocess their public crimes they commit merely denied to blind america but   accusations merely be implied become the truth",Neutral,NA
"96",  0," words are not enough to express so heres a ",Neutral,NA
"97",  1," we miss you obama our last legitimate president",Positive,NA
"98",  0," still trying to figure out how the russians made me vote for djt im sure i did this on my own",Neutral,NA
"99",  2," happy presidents day president ",Positive,NA
"100", -1," said the most insecure most illegitimate president ever",Negative,NA
"101",  1," which one is not like the others ",Positive,NA
"102",  0," i am remembering what a total idiot george bush was but he still looked better then you do",Neutral,NA
"103",  1," people from around the world are laughing at us because of you",Positive,NA
"104",  0," k u  ",Neutral,NA
"105",  1," the best",Positive,NA
"106", -2," oprah so youre already that worried about competition from a bigger celeb poor baby",Negative,NA
"107",  3," we pause today to solemnly honor the legacies of the first  presidents of the united states who in good and bad deeds always did what they felt was best for the country rather than themselves",Positive,NA
"108",  3," ive done my reflecting and had this visionscrooge mctrump singinghappy president day to mehappy president day to methank you very much mr putinhappy president day to me ",Positive,NA
"109", -1," lmaoyou said insecure ",Negative,NA
"110", -1," idiot",Negative,NA
"111",  3," happy presidents day president trump",Positive,NA
"112",  0," lets reflect on why we have so many nazis in the wh",Neutral,NA
"113",  0," president barack obama missing you on this presidents day",Neutral,NA
"114",  0," go screw yourself",Neutral,NA
"115",  1," the only insecure person in america is our so called president trump  got elected by the russians",Positive,NA
"116", -3," what are you fucking rambling on about now you head case",Negative,NA
"117",  2," first of all   is a national treasure and youre just americas trash chute so go away you trashbag on another note happy presidentsday  ",Positive,NA
"118", -5," fuck you you are the one holding them ransom you lying sack of shit",Negative,NA
"119",  1," no your a poor choice choice for anything related to this counttype  a known con man without morales who says anything especially non truth carp about others  such a weak mind",Positive,NA
"120", -1," you say things and then you reverse and then you say it again cowardice is the act of not confronting your own truth and words",Negative,NA
"121",  0," yes everyday i reflect upon the poor job you are doing as president everyday we as a nation have to reflect on what we did to let you into the highest office we must reflect upon how the office of potus has diminished so greatly that you fill it",Neutral,NA
"122",  2," godspeed wethepeople love you and are so grateful for you saving our country presidentsday",Positive,NA
"123", -3," reflect on the fact that someone with a handgun or a knife or a bat would of caused a lot less damage before being stopped then someone spraying dozens of bullets within seconds with an ar",Negative,NA
"124", -3," doprah you may adopt my epithet for her is an earnibbling buddy of weinsteins and an enemy of women shes a hypocritical freak and immediately abandoned hrc to help select obama in  shes disgusting in every way  doprah",Negative,NA
"125",  0," shut up ",Neutral,NA
"126",  0," if you dont give commie news network a good rating they send you to siberia",Neutral,NA
"127", -2," please stop disrespecting our elected officials in both political parties  it is childish  the name calling is embarrassing  we ask our children not to do this  we expect more from you",Negative,NA
"128",  0," if only you would believe or stand by anything you say",Neutral,NA
"129",  0," id love to reflect upon your tax returns notmypresidentday notagenius shitholetrump",Neutral,NA
"130",  2," im pretty sure you have way bigger things to worry about right now you fucktard",Positive,NA
"131", -1," at a february  press conference trump said the whole russian thing thats a ruse thats a ruse",Negative,NA
"132",  0," reflect then do the right thing resign",Neutral,NA
"133",  0," reflect on this ",Neutral,NA
"134",  0," outof",Neutral,NA
"135", -1," how did russia do it russia u idiot",Negative,NA
"136", -2," you are a sick man  sad",Negative,NA
"137",  1," resign and well be happy",Positive,NA
"138",  0," you too  to prevent mass murders",Neutral,NA
"139", -7," you are one sick twisted son if a bitch you are a  lb meat golem rotting from the inside out you deserve everything that is soon heading your way cant wait to see you crash and burn  loathsome ",Negative,NA
"140", -1," it is  u give us so much on which to reflect  u r breathing walking cognitive dissonance  u make me realize by the absence of these qualities in your presidency how much i miss moral fiber a compass anything even marginally morally pure  i miss a nonmafia wannabe potus",Negative,NA
"141",  0,"  shut up ahole",Neutral,NA
"142",  2," wow attacking oprah now yo mister president dont you have anything better to do",Positive,NA
"143", -1," facts are never incorrect kellyann may tell you there are alternative facts but these are actually bullshit lies that you seem quite fond of you are a laughingstock your in top  most hated people in the world that are still alive let that sink in",Negative,NA
"144",  0," fakefuckingpresident",Neutral,NA
"145",  0," i believe your comments should have been shared with your fbi only",Neutral,NA
"146", -1," while you reflect on your golf toddlerinchief nrastooge murderer",Negative,NA
"147",  1," projecting much lately get help",Positive,NA
"148",  4," thank god for you mr president have a great daymaga ",Positive,NA
"149",  0," they want our guns so they can take over with the nwo and agenda  now renamed agenda  nd amendment stays",Neutral,NA
"150", -1," you were a despicable human being and still are",Negative,NA
"151",  1," we are reflecting reflecting on how to keep you from destroying democracy reflecting on keeping ahead of the bots who are now attacking you reflecting on the only industrialized nation who had to have a group of kids tell the adults how to act like grownups very reflective",Positive,NA
"152",  2," thank you mr presidenthappy presidents day to you sir",Positive,NA
"153",  4," loving seeing you sweat i pray we get to see you in handcuffs but id be happy with you just leaving the white house in disgrace",Positive,NA
"154",  0," most insecure people i know call other people insecure same with calling people names  reminds one of a kindergartner you will never grow up",Neutral,NA
"155", -1," what the actual fuck does that mean",Negative,NA
"156",  0," way to turn this into something about you",Neutral,NA
"157", -3," so throwing up a smoke screen to protect russia and of course your narcissist self is so much more important than the students who died  not what should be the rant from the wh you are so busted me thinks thou protest too much",Negative,NA
"158",  0," thanks for challenging her and anyone else to run against you no matter who runs against you it will be better than  more years of you and your royal family quit asking us to pay for your clandestine trips for your pleasure and privacy",Neutral,NA
"159", -3," aw shucks i missed itdid she ask anything about porn stars affairs infidelity promiscuity cheating or ",Negative,NA
"160", -1," please resign",Negative,NA
"161",  0," so inspirational not just another day cheating on the golf course so sad",Neutral,NA
"162",  3," what a pathetic excuse for human being you are donnie oprah winfrey is a wonderful woman gives back believes in truth believes in our country does not believe in you i would vote for her so would millions more when will you finally grow up ",Positive,NA
"163",  3,"  happy you are my president trump day",Positive,NA
"164", -2," go to hell and burn",Negative,NA
"165",  1," happy presidents day ",Positive,NA
"166",  4," like when you speak yes like you the great second grade educated dotard",Positive,NA
"167", -2," putin stooge treason inchief never again",Negative,NA
"168",  3," exposed for what trump being a smart intelligent black woman with more compassion in her pinky than you do in your whole existence oprah trumpisatraitor trumpisacoward gopcomplicit womenshouldruntheworld menyouhavemessedup voteoutthegop indicttrump",Positive,NA
"169",  1," fake president who russia is laughing their asses off about",Positive,NA
"170",  2," good thing hussain obama is out of office such a relief from the dark days its like night and day",Positive,NA
"171",  0," must be the article in the politico i saw people that say that only make excuses for themselves why she ran a bad campaign shes lieing as usual something you hear from a looser out on the playground who cant accept that they were fairly beat in a competition",Neutral,NA
"172",  0," you literally just rtd a fake trump account which is now suspended you are fake news",Neutral,NA
"173", -2," what in the hell are you smiling about  dead dead",Negative,NA
"174",  4," interesting that the goals of russia are identical to  keep up the great work mr president maga",Positive,NA
"175", -1," yes we will all reflect on how stupid we are were to vote for you and we will reflect on how to get your dumb ass out of office as soon as possible",Negative,NA
"176", -3," its all the other crap and your inability to represent all americans that make you and the gop a dying breed",Negative,NA
"177",  1," ah yes your next target  getting your priorities straight setting your goals  got it",Positive,NA
"178", -1," bots mourn re election",Negative,NA
"179",  5," happy presidents day sir im thankful for you god bless you and your family maga",Positive,NA
"180", -3," what in the world is wrong with you what a pathetic excuse of a man",Negative,NA
"181", -1," and you still havent criticized putin or russiawhich i find suspicioius and self serving",Negative,NA
"182", -1," very reflective people all over world reflecting on how yourussia conspired to destroy  so you could con your way to  history will show you bankrupted america morally  financiallyconspired with russians to destroy democracy youworst  sad",Negative,NA
"183",  2," reflecting the president of the united states is racist a lot of us already knew thatpresident trump said shithole countriesreferencing haiti el salvador and african countriesto immigrate to america in the oval office ",Positive,NA
"184", -1," because the republicans the party of no filibustered you moron",Negative,NA
"185",  3," happy presidents day comrade thank you for not enforcing sanctions ",Positive,NA
"186",  6," good griefplease just stfu for one day especially on this special time of honoring our real presidents",Positive,NA
"187",  2," we are reflecting on the fact that you are not a legitimate human being let alone president",Positive,NA
"188",  0," you first  ",Neutral,NA
"189",  6," if you paid attention in the pre  postelection briefings of which you were a part you should know this we did youd also know your senate majority leader strongly opposed any action before the election clearly you prefer a delegitimized presidency to no presidency",Positive,NA
"190",  3," happy presidents day mr presidentyoure doing a great job",Positive,NA
"191", -1,"   resign",Negative,NA
"192",  2," now u know what putin did how  why he did it the question is what r u going  do about it r u going  finally stand up to putin",Positive,NA
"193",  2," why even tweet about this get to work",Positive,NA
"194", -2," you are an insecure pathetic person",Negative,NA
